region,department,district,n_cities,population
Auvergne-Rhône-Alpes,Ain,Belley,105.0,123918.0
Auvergne-Rhône-Alpes,Ain,Bourg-en-Bresse,199.0,342049.0
Auvergne-Rhône-Alpes,Ain,Gex,27.0,97175.0
Auvergne-Rhône-Alpes,Ain,Nantua,62.0,96038.0
Hauts-de-France,Aisne,Château-Thierry,108.0,71605.0
Hauts-de-France,Aisne,Laon,240.0,160163.0
Hauts-de-France,Aisne,Saint-Quentin,126.0,130884.0
Hauts-de-France,Aisne,Soissons,166.0,110469.0
Hauts-de-France,Aisne,Vervins,160.0,73406.0
Auvergne-Rhône-Alpes,Allier,Montluçon,89.0,110462.0
Auvergne-Rhône-Alpes,Allier,Moulins,109.0,109162.0
Auvergne-Rhône-Alpes,Allier,Vichy,119.0,127411.0
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Barcelonnette,14.0,8207.0
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Castellane,41.0,11700.0
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Digne-les-Bains,46.0,49212.0
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Forcalquier,97.0,99262.0
Provence-Alpes-Côte d'Azur,Hautes-Alpes,Briançon,36.0,35898.0
Provence-Alpes-Côte d'Azur,Hautes-Alpes,Gap,126.0,109985.0
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Grasse,62.0,571430.0
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Nice,101.0,526066.0
Auvergne-Rhône-Alpes,Ardèche,Largentière,151.0,104697.0
Auvergne-Rhône-Alpes,Ardèche,Privas,66.0,87132.0
Auvergne-Rhône-Alpes,Ardèche,Tournon-sur-Rhône,118.0,142859.0
Grand Est,Ardennes,Charleville-Mézières,157.0,160763.0
Grand Est,Ardennes,Rethel,101.0,38215.0
Grand Est,Ardennes,Sedan,73.0,58648.0
Grand Est,Ardennes,Vouziers,118.0,22406.0
Occitanie,Ariège,Foix,115.0,48743.0
Occitanie,Ariège,Pamiers,91.0,66721.0
Occitanie,Ariège,Saint-Girons,121.0,41746.0
Grand Est,Aube,Bar-sur-Aube,108.0,29125.0
Grand Est,Aube,Nogent-sur-Seine,79.0,55116.0
Grand Est,Aube,Troyes,244.0,232877.0
Occitanie,Aude,Carcassonne,186.0,165060.0
Occitanie,Aude,Limoux,138.0,43579.0
Occitanie,Aude,Narbonne,109.0,170455.0
Occitanie,Aveyron,Millau,110.0,82286.0
Occitanie,Aveyron,Rodez,79.0,116143.0
Occitanie,Aveyron,Villefranche-de-Rouergue,96.0,91059.0
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Aix-en-Provence,48.0,459789.0
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,29.0,174893.0
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Istres,21.0,331495.0
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,21.0,1082327.0
Normandie,Calvados,Bayeux,123.0,75108.0
Normandie,Calvados,Caen,200.0,393679.0
Normandie,Calvados,Lisieux,160.0,165442.0
Normandie,Calvados,Vire,44.0,74115.0
Auvergne-Rhône-Alpes,Cantal,Aurillac,93.0,84805.0
Auvergne-Rhône-Alpes,Cantal,Mauriac,55.0,26533.0
Auvergne-Rhône-Alpes,Cantal,Saint-Flour,98.0,38847.0
Nouvelle-Aquitaine,Charente,Angoulême,115.0,186090.0
Nouvelle-Aquitaine,Charente,Cognac,110.0,102231.0
Nouvelle-Aquitaine,Charente,Confolens,141.0,73218.0
Nouvelle-Aquitaine,Charente-Maritime,Jonzac,129.0,69876.0
Nouvelle-Aquitaine,Charente-Maritime,Rochefort,78.0,194460.0
Nouvelle-Aquitaine,Charente-Maritime,La Rochelle,58.0,221817.0
Nouvelle-Aquitaine,Charente-Maritime,Saintes,88.0,120025.0
Nouvelle-Aquitaine,Charente-Maritime,Saint-Jean-d'Angély,110.0,53790.0
Centre-Val de Loire,Cher,Bourges,128.0,176377.0
Centre-Val de Loire,Cher,Saint-Amand-Montrond,116.0,64234.0
Centre-Val de Loire,Cher,Vierzon,43.0,70845.0
Nouvelle-Aquitaine,Corrèze,Brive-la-Gaillarde,96.0,131880.0
Nouvelle-Aquitaine,Corrèze,Tulle,104.0,73227.0
Nouvelle-Aquitaine,Corrèze,Ussel,80.0,44028.0
Corse,Corse-du-Sud,Ajaccio,81.0,117839.0
Corse,Corse-du-Sud,Sartène,43.0,41929.0
Corse,Haute-Corse,Bastia,27.0,90171.0
Corse,Haute-Corse,Calvi,51.0,30410.0
Corse,Haute-Corse,Corte,158.0,59884.0
Bourgogne-Franche-Comté,Côte-d'Or,Beaune,222.0,113567.0
Bourgogne-Franche-Comté,Côte-d'Or,Dijon,226.0,370741.0
Bourgogne-Franche-Comté,Côte-d'Or,Montbard,252.0,61490.0
Bretagne,Côtes-d'Armor,Dinan,67.0,105576.0
Bretagne,Côtes-d'Armor,Guingamp,111.0,129198.0
